"IDSCHOOL","IDTEACH","TT3G01","TCHAGEGR","T3JOBSA","T3WLOAD","T3SELF","SCHLOC","T3PLACRE"
"3049","304913","1","6",9.55052816489476,11.9489192918792,11.2662537037369,NA,NA
"3049","304914","1","3",10.272819388069,8.3271820713578,12.2666047978304,NA,NA
"3049","304915","2","6",14.9369164200495,13.4146471026596,14.4894939567104,NA,NA
"3049","304916","2","4",11.1334965675332,8.98384605997957,NA,NA,NA
"3049","304917","1","3",11.1872123291103,12.1214896916194,10.9870797899628,NA,NA
"3049","304918","1","4",13.9864451594408,9.7637746198443,10.0639083395401,NA,NA
"3049","304919","1","4",12.0097908875911,9.2774398569402,11.8270473625337,NA,NA
"3049","304920","1","4",12.0315517122156,8.05151766657801,13.2431903910206,NA,NA
"3050","305001","2","6",8.63858965602074,NA,14.6843215460387,"3","1"
"3050","305002","1","5",10.4052627704025,14.9857100925021,15.5092644957646,"3","1"
"3050","305003","1","4",11.3546363887376,10.5907678341837,14.1675577670725,"3","1"
"3050","305004","1","5",11.3546363887376,6.27202549263369,11.2662537037369,"3","1"
"3050","305005","1","4",12.3031776532267,14.5845399424567,13.6571807695489,"3","1"
"3050","305006","1","3",11.1334965675332,9.362604469799,13.7287670811831,"3","1"
"3050","305007","2","5",10.0513044784083,6.1173844850743,11.0756523171281,"3","1"
"3050","305008","1","4",11.3765303042273,12.2447542628624,10.3230308062124,"3","1"
"3050","305009","1","6",NA,NA,13.6584173001833,"3","1"
"3050","305011","1","4",12.8894111393252,8.09858232105261,13.4349398969497,"3","1"
"3050","305012","1","5",9.84727766316592,8.12771758334641,10.3934080991796,"3","1"
"3050","305013","2","4",13.7135195727789,6.0882492227805,14.2414368810428,"3","1"
"3050","305014","1","4",13.7971271843238,6.93989535136846,14.7774121781374,"3","1"
"3050","305015","1","5",11.2532691640358,9.6696453108951,10.2000625598885,"3","1"
"3050","305016","1","5",5.88984294549695,8.10978819116561,14.3323230425724,"3","1"
"3050","305017","2","4",12.4558928727286,9.2774398569402,15.5092644957646,"3","1"
"3050","305018","1","2",11.1537275171848,6.27202549263369,11.2662537037369,"3","1"
"3050","305019","1","5",11.3765303042273,7.04074818238546,12.4347868544058,"3","1"
"3050","305020","2","6",11.2078183672183,8.97264018986657,11.2662537037369,"3","1"
"3051","305101","1","4",11.1537275171848,10.9829732881387,12.8032470964521,"2","2"
"3051","305102","1","4",13.3564024495783,14.8602043472365,15.2496657260721,"2","2"
"3051","305103","1","5",14.9369164200495,6.63285451027227,13.434718692844,"2","2"
"3051","305104","1","3",12.4252375814268,9.239339898556,11.1057281939915,"2","2"
"3051","305105","1","5",13.110914280717,9.3917397320928,12.5447585677479,"2","2"
"3051","305106","2","6",12.9364382365905,8.88747557700778,10.730258310211,"2","2"
"3051","305107","2","5",11.0794057174998,10.4473326967373,11.5703495523718,"2","2"
"3051","305108","1","4",13.5914596445788,8.81799918230718,11.2662537037369,"2","2"
"3051","305109","1","4",13.3686568575364,8.97264018986657,15.5092644957646,"2","2"
"3051","305110","1","4",14.9369164200495,8.84713444460098,14.9385028171942,"2","2"
"3051","305111","2","4",9.67395640555601,14.0645875692136,10.4953086536153,"2","2"
"3051","305112","1","3",9.5854561864027,9.6158571343527,12.1814684496727,"2","2"
"3051","305113","1","5",11.3765303042273,11.978054554173,10.5605470330912,"2","2"
"3051","305114","2","2",12.7903999131314,8.3025291571092,13.2494665694366,"2","2"
"3051","305115","1","4",12.7004682526646,8.84713444460098,11.8505098152308,"2","2"
"3051","305116","1","3",11.3546363887376,9.09590476110957,10.8169425843181,"2","2"
"3051","305117","1","5",13.3217628511363,10.4092327383531,11.7820360186607,"2","2"
"3051","305118","1","3",9.45022906131912,9.6696453108951,13.3460178606709,"2","2"
"3051","305119","2","6",13.8495433002501,10.4383680006469,15.1156097708794,"2","2"
"3051","305120","1","2",11.3546363887376,9.9072097572907,12.9019894836113,"2","2"
"3052","305201","1","6",14.8832006584724,9.4119102982962,11.2662537037369,"2","1"
"3052","305202","2","4",14.8845003041232,5.9649846515375,14.7479014305854,"2","1"
"3052","305203","1","5",13.1659296879448,9.2774398569402,12.3610257042198,"2","1"
"3052","305204","1","5",11.766757150897,9.5172454773583,12.3615923778043,"2","1"
"3052","305205","2","5",12.0785447998764,8.17478223782101,11.0852317354591,"2","1"
"3052","305206","1","4",11.1859126834595,9.00177545216037,14.8035578251189,"2","1"
"3052","305207","1","6",11.3765303042273,7.20659506005785,14.5010356507353,"2","1"
"3052","305208","2","6",10.7739250121653,9.5172454773583,12.0387434773947,"2","1"
"3052","305209","2","4",12.8356953777482,8.84713444460098,11.4384532049499,"2","1"
"3052","305210","1","4",14.9369164200495,10.2837269930875,15.2496657260721,"2","1"
