"IDSCHOOL","IDTEACH","TT3G01","TCHAGEGR","T3JOBSA","T3WELS","SCHLOC"
"3006","300609","1","6",12.0084912419403,9.25611015448074,"2"
"3006","300610","1","4",5.96363432452491,11.9894332018778,"2"
"3006","300611","1","3",13.3015319014847,7.59659258998962,"2"
"3006","300612","1","6",12.4034767568023,9.25611015448074,"2"
"3006","300613","2","5",13.0584981647906,9.79192824393084,"2"
"3006","300614","2","5",9.69456244366398,7.79182995051799,"2"
"3006","300615","2","4",11.408727238771,7.59659258998962,"2"
"3006","300616","1","4",12.8008360230506,7.59659258998962,"2"
"3006","300617","1","2",10.8674023605638,7.93717331891133,"2"
"3006","300618","1","5",10.8880083986719,8.76801675315982,"2"
"3006","300619","1","5",12.4558928727286,8.2799233518389,"2"
"3006","300620","1","6",8.72794960641393,11.7941958413495,"2"
"3007","300701","1","4",12.6648122955794,7.74410526238883,"1"
"3007","300702","1","4",14.8845003041232,7.44907991759041,"1"
"3007","300703","1","4",12.8691801896736,7.93717331891133,"1"
"3007","300704","1","4",11.3765303042273,7.93717331891133,"1"
"3007","300705","1","3",6.35554637836827,14.8702689216742,"1"
"3007","300706","1","5",11.3765303042273,7.93717331891133,"1"
"3007","300707","1","3",12.8691801896736,7.93717331891133,"1"
"3007","300708","2","6",11.0713033647529,7.59659258998962,"1"
"3007","300709","1","4",14.6951823290062,7.44907991759041,"1"
"3007","300710","1","6",12.5246925628874,7.59659258998962,"1"
"3007","300711","2","4",11.3765303042273,8.76801675315982,"1"
"3007","300712","1","6",14.9369164200495,7.59659258998962,"1"
"3007","300713","1","4",12.8691801896736,10.2821909492576,"1"
"3007","300714","1","5",13.2012327979091,10.1346782768583,"1"
"3007","300715","1","5",14.2628306171951,7.44907991759041,"1"
"3007","300716","2","4",8.79520765333079,13.5491627820989,"1"
"3007","300717","1","4",15.1262343951665,7.59659258998962,"1"
"3007","300718","1","6",10.0890575320828,8.08468599131054,"1"
"3007","300719","1","5",12.8691801896736,7.93717331891133,"1"
"3007","300720","1","4",13.5927592902296,7.89161793478804,"1"
"3008","300801","1","5",11.766757150897,10.4752590057801,"2"
"3008","300802","2","6",11.8397793049313,8.76801675315982,"2"
"3008","300803","2","4",14.4712129871782,7.93717331891133,"2"
"3008","300804","1","5",9.80827074171419,11.3061024400285,"2"
"3008","300805","1","3",8.05198108146581,9.25611015448074,"2"
"3008","300807","1","6",12.2745854489097,11.1130343835061,"2"
"3008","300808","1","6",12.6798622145566,8.08468599131054,"2"
"3008","300809","1","3",12.0097908875911,10.4752590057801,"2"
"3008","300810","1","5",9.86198650329126,13.0133446926488,"2"
"3008","300811","1","4",13.110914280717,10.6227716781793,"2"
"3008","300812","1","3",14.0388612753671,9.64441557153164,"2"
"3008","300813","2","4",12.4034767568023,7.79182995051799,"2"
"3008","300814","1","6",11.1872123291103,12.8202766361263,"2"
"3008","300815","1","4",13.3497255535355,10.6227716781793,"2"
"3008","300816","1","4",10.7226636827555,9.25611015448074,"2"
"3008","300817","1","4",15.1262343951665,7.93717331891133,"2"
"3008","300818","1","5",13.6322966323384,7.59659258998962,"2"
"3008","300819","2","6",12.5427523673793,7.93717331891133,"2"
"3008","300820","1","2",14.6414665674291,8.2799233518389,"2"
"3009","300901","1","5",6.8365659119472,11.9417085137487,"3"
"3009","300902","1","3",11.9711250449912,15.0633369781967,"3"
"3009","300903","1","4",11.766757150897,7.93717331891133,"3"
"3009","300904","1","4",7.15852348911526,14.722756249275,"3"
"3009","300905","1","6",11.1872123291103,12.8202766361263,"3"
"3009","300906","2","4",9.60424392647184,11.3516578241518,"3"
